,word,count_n,corpos_N
283,garden,1576,10601584
284,say,13771,10601584
285,water,2871,10601584
286,almost,5826,10601584
287,nearly,1482,10601584
288,hand,9983,10601584
289,labour,382,10601584
290,case,3278,10601584
291,manners,588,10601584
292,ocean,283,10601584
293,farther,534,10601584
294,curiosity,810,10601584
295,former,790,10601584
296,away,10290,10601584
297,find,5063,10601584
298,eyes,13661,10601584
299,immediately,1505,10601584
300,side,5413,10601584
301,perhaps,5950,10601584
302,hour,3437,10601584
303,perceived,746,10601584
304,nothing,10469,10601584
305,formed,770,10601584
306,knowledge,1333,10601584
307,piece,1044,10601584
308,home,5188,10601584
309,think,13847,10601584
310,already,3797,10601584
311,ourselves,763,10601584
312,language,679,10601584
313,except,1911,10601584
314,entered,1834,10601584
315,nor,3932,10601584
316,opinion,1212,10601584
317,came,11942,10601584
318,shall,8623,10601584
319,head,8740,10601584
320,telescope,71,10601584
321,mahu,23,10601584
322,gutenberg,784,10601584
323,benares,22,10601584
324,history,990,10601584
325,year,2242,10601584
326,therefore,1931,10601584
327,called,3986,10601584
328,pieces,545,10601584
329,house,8206,10601584
330,pleasure,1836,10601584
331,effect,1727,10601584
332,done,5995,10601584
333,planet,78,10601584
334,balty,22,10601584
335,foundation,838,10601584
336,asia,87,10601584
337,following,1326,10601584
338,heard,6276,10601584
339,beautiful,2568,10601584
340,strange,3146,10601584
341,party,1467,10601584
342,gave,5101,10601584
343,metal,146,10601584
344,determined,1033,10601584
345,lost,2791,10601584
346,variety,282,10601584
347,learnt,251,10601584
348,somewhat,1092,10601584
349,parts,607,10601584
350,last,9671,10601584
351,probably,1533,10601584
352,fell,2483,10601584
353,discovered,923,10601584
354,hope,3300,10601584
355,occasion,1333,10601584
356,land,1581,10601584
357,lunar,26,10601584
358,name,4480,10601584
359,supposed,988,10601584
360,brought,3927,10601584
361,enough,6282,10601584
362,wish,3418,10601584
363,change,2023,10601584
364,rose,3168,10601584
365,tell,8682,10601584
366,within,2640,10601584
367,power,2506,10601584
368,sleep,1768,10601584
369,partly,570,10601584
370,objects,402,10601584
371,human,2181,10601584
372,does,5129,10601584
373,food,714,10601584
374,important,899,10601584
375,secret,1704,10601584
376,singular,495,10601584
377,circumstances,1136,10601584
378,show,2470,10601584
379,native,437,10601584
380,considered,1057,10601584
381,believe,4116,10601584
382,young,10133,10601584
383,motion,485,10601584
384,age,1651,10601584
385,besides,1469,10601584
386,reached,1846,10601584
387,high,2889,10601584
388,religion,687,10601584
389,climate,145,10601584
390,evening,3503,10601584
391,provided,536,10601584
392,seeing,1921,10601584
393,globe,150,10601584
394,natural,1720,10601584
395,returned,3272,10601584
396,author,327,10601584
397,copyright,669,10601584
398,account,1544,10601584
399,coast,406,10601584
400,face,10979,10601584
401,showed,1662,10601584
402,merely,1337,10601584
403,sufficient,592,10601584
404,mentioned,773,10601584
405,forth,1759,10601584
406,engaged,1001,10601584
407,began,5269,10601584
408,turned,6473,10601584
409,interest,2307,10601584
410,come,15488,10601584
411,observed,1358,10601584
412,agreement,735,10601584
413,information,898,10601584
414,nails,142,10601584
415,valley,823,10601584
416,changed,1339,10601584
417,matter,4330,10601584
418,true,3285,10601584
419,became,2846,10601584
420,things,8511,10601584
421,fact,3929,10601584
422,go,14053,10601584
423,portion,351,10601584
424,expected,1440,10601584
425,just,11043,10601584
426,silver,748,10601584
427,used,2867,10601584
428,rapidly,576,10601584
429,direction,1081,10601584
430,point,2800,10601584
431,ordinary,721,10601584
432,scene,1319,10601584
433,art,1205,10601584
434,get,8428,10601584
435,continent,161,10601584
436,bodies,321,10601584
437,opinions,385,10601584
438,travellers,142,10601584
439,patient,562,10601584
440,boys,957,10601584
441,countrymen,87,10601584
442,asked,8283,10601584
443,hundred,2134,10601584
444,persons,887,10601584
445,words,5509,10601584
446,right,8070,10601584
447,death,3196,10601584
448,accordingly,415,10601584
449,reader,328,10601584
450,increased,490,10601584
451,surprise,1339,10601584
452,evidently,1010,10601584
453,english,1830,10601584
454,regard,975,10601584
455,favourite,289,10601584
456,difficulty,908,10601584
457,acquaintance,836,10601584
458,lively,343,10601584
459,force,1280,10601584
460,bottom,766,10601584
461,look,8994,10601584
462,went,11097,10601584
463,countries,223,10601584
464,custom,313,10601584
465,animal,508,10601584
466,crowd,1104,10601584
467,license,602,10601584
468,morosofia,15,10601584
469,lunarians,15,10601584
470,learned,1044,10601584
471,africa,132,10601584
472,moral,847,10601584
473,india,297,10601584
474,philosopher,159,10601584
475,government,1014,10601584
476,story,1716,10601584
477,suddenly,4034,10601584
478,finding,866,10601584
479,similar,371,10601584
480,read,3414,10601584
481,kind,4753,10601584
482,itself,2886,10601584
483,delight,818,10601584
484,remarked,1225,10601584
485,call,3218,10601584
486,greatly,607,10601584
487,early,1839,10601584
488,facts,721,10601584
489,east,467,10601584
490,generally,823,10601584
491,society,1503,10601584
492,book,1841,10601584
493,third,977,10601584
494,forms,423,10601584
495,children,3043,10601584
496,friends,2766,10601584
497,mere,1528,10601584
498,town,2203,10601584
499,manner,3187,10601584
500,kept,2932,10601584
501,mountain,556,10601584
502,distant,796,10601584
503,certainly,2485,10601584
504,along,3361,10601584
505,six,1482,10601584
506,why,8460,10601584
507,pass,1379,10601584
508,situation,1266,10601584
509,heart,6890,10601584
510,female,473,10601584
511,cause,1623,10601584
512,understood,1479,10601584
513,common,1497,10601584
514,best,3591,10601584
515,proposed,534,10601584
516,attention,1722,10601584
517,white,4681,10601584
518,nations,185,10601584
519,mode,207,10601584
520,feeling,3412,10601584
521,animals,285,10601584
522,skill,232,10601584
523,literary,723,10601584
524,donations,514,10601584
525,national,300,10601584
526,parties,392,10601584
527,system,533,10601584
528,visited,329,10601584
529,single,1127,10601584
530,favour,540,10601584
531,believed,1166,10601584
532,become,2469,10601584
533,doubt,2693,10601584
534,village,847,10601584
535,formerly,232,10601584
536,sent,2135,10601584
537,acquainted,400,10601584
538,atmosphere,570,10601584
539,seems,2196,10601584
540,carry,1150,10601584
541,houses,1105,10601584
542,spot,1140,10601584
543,exercise,378,10601584
544,hermit,45,10601584
545,favourable,201,10601584
546,longer,2486,10601584
547,flowers,1273,10601584
548,health,787,10601584
549,against,5748,10601584
550,receive,802,10601584
551,possible,2416,10601584
552,mine,1690,10601584
553,individual,658,10601584
554,thirty,520,10601584
555,latter,962,10601584
556,endeavoured,167,10601584
557,commonly,122,10601584
558,host,364,10601584
559,room,7716,10601584
560,adventures,202,10601584
561,future,1680,10601584
562,happy,2827,10601584
563,difficulties,386,10601584
564,mankind,331,10601584
565,support,643,10601584
566,something,8971,10601584
567,paragraph,454,10601584
568,morning,4816,10601584
569,paper,1739,10601584
570,born,971,10601584
571,mother,7142,10601584
572,enter,722,10601584
573,property,862,10601584
574,serious,1042,10601584
575,aid,386,10601584
576,presented,741,10601584
577,sound,2530,10601584
578,wife,4201,10601584
579,usual,1587,10601584
580,mean,4793,10601584
581,necessary,1393,10601584
582,thousand,1822,10601584
583,excited,772,10601584
584,company,1557,10601584
585,sort,4221,10601584
586,round,5620,10601584
587,passing,1128,10601584
588,lay,2911,10601584
589,cell,153,10601584
590,approach,549,10601584
591,required,585,10601584
592,law,1421,10601584
593,around,1991,10601584
594,colour,816,10601584
595,whilst,425,10601584
596,remarkable,576,10601584
597,disease,259,10601584
598,attracted,337,10601584
599,dear,5983,10601584
600,fire,2732,10601584
601,danger,1062,10601584
602,distance,1296,10601584
603,back,12805,10601584
604,arts,187,10601584
605,seem,2140,10601584
606,general,2113,10601584
607,says,3376,10601584
608,pay,1538,10601584
609,progress,453,10601584
610,whenever,547,10601584
611,agree,800,10601584
612,looked,10746,10601584
613,pile,264,10601584
614,melancholy,690,10601584
615,particular,1556,10601584
616,shunah,13,10601584
617,trademark,445,10601584
618,archive,445,10601584
619,curious,1031,10601584
620,hypothesis,58,10601584
621,theory,369,10601584
622,fair,1284,10601584
623,gives,705,10601584
624,extraordinary,841,10601584
625,disposed,375,10601584
626,fortune,1152,10601584
627,turn,2775,10601584
628,truth,2423,10601584
629,expense,294,10601584
630,proceeded,684,10601584
631,master,1591,10601584
632,experienced,335,10601584
633,gone,4371,10601584
634,hear,3771,10601584
635,till,4058,10601584
636,woman,7915,10601584
637,trade,450,10601584
638,gradually,661,10601584
639,want,7512,10601584
640,school,1166,10601584
641,meet,2069,10601584
642,sufficiently,592,10601584
643,interesting,798,10601584
644,natives,135,10601584
645,suppose,3065,10601584
646,entirely,944,10601584
647,held,2925,10601584
648,none,2213,10601584
649,sight,2406,10601584
650,intended,718,10601584
651,species,206,10601584
652,letters,1299,10601584
653,strength,1333,10601584
654,live,3023,10601584
655,walk,1998,10601584
656,circumstance,334,10601584
657,habits,364,10601584
658,action,1021,10601584
659,especially,1056,10601584
660,obtained,318,10601584
661,thick,880,10601584
662,spectacle,247,10601584
663,heat,580,10601584
664,proportion,203,10601584
665,striking,430,10601584
666,beauty,1671,10601584
667,operation,156,10601584
668,thoughts,2344,10601584
669,above,3102,10601584
670,minutes,1823,10601584
671,figure,1783,10601584
672,approached,614,10601584
673,ten,1944,10601584
674,shoo,20,10601584
675,education,582,10601584
676,concerning,537,10601584
677,description,326,10601584
678,atlantic,134,10601584
679,origin,189,10601584
680,second,2411,10601584
681,glonglim,11,10601584
682,celebrated,201,10601584
683,physician,221,10601584
684,gentleman,2502,10601584
685,dispute,161,10601584
686,violence,442,10601584
687,pleasures,277,10601584
688,smell,501,10601584
689,example,599,10601584
690,body,2430,10601584
691,narrative,203,10601584
692,inquired,899,10601584
693,argument,379,10601584
694,birds,474,10601584
695,size,277,10601584
696,lake,458,10601584
697,hold,2288,10601584
698,afforded,150,10601584
699,readily,245,10601584
700,fly,436,10601584
701,daughter,2000,10601584
702,foreign,557,10601584
703,twenty,1020,10601584
704,afford,390,10601584
705,ship,1161,10601584
706,captain,1978,10601584
707,placed,1173,10601584
708,horizon,376,10601584
709,extent,488,10601584
710,threw,1275,10601584
711,fifty,729,10601584
712,magistrate,225,10601584
713,forty,506,10601584
714,regarded,624,10601584
715,lived,1750,10601584
716,neighbours,213,10601584
717,attached,481,10601584
718,quiet,1974,10601584
719,lead,777,10601584
720,possessed,729,10601584
721,admiration,632,10601584
722,alone,4516,10601584
723,taste,878,10601584
724,sense,3329,10601584
725,conversation,1719,10601584
726,thrown,942,10601584
727,region,271,10601584
728,probable,308,10601584
729,produce,401,10601584
730,satisfied,667,10601584
731,below,1371,10601584
732,courage,940,10601584
733,written,1325,10601584
734,nation,336,10601584
735,success,917,10601584
736,green,1504,10601584
737,modes,43,10601584
738,struck,2046,10601584
739,altogether,1078,10601584
740,strong,2297,10601584
741,contained,415,10601584
742,supply,235,10601584
743,glass,1437,10601584
744,islands,152,10601584
745,certain,3807,10601584
746,opposite,1051,10601584
747,substances,26,10601584
748,equally,584,10601584
749,notice,1236,10601584
750,composed,331,10601584
751,wood,692,10601584
752,served,607,10601584
753,reason,2696,10601584
754,successful,357,10601584
755,expressed,839,10601584
756,paid,1295,10601584
757,lose,893,10601584
758,practice,401,10601584
759,multitude,169,10601584
760,witness,356,10601584
761,fatima,11,10601584
762,omrah,11,10601584
763,flying,408,10601584
764,satire,44,10601584
765,footnote,92,10601584
766,copy,611,10601584
767,makes,1838,10601584
768,glonglims,10,10601584
769,plan,747,10601584
770,prepare,307,10601584
771,pacific,140,10601584
772,increase,230,10601584
773,hair,2792,10601584
774,rent,237,10601584
775,further,1945,10601584
776,american,819,10601584
777,answered,3361,10601584
778,exhibited,155,10601584
779,insisted,562,10601584
780,giving,1437,10601584
781,particularly,738,10601584
782,principles,373,10601584
783,divided,381,10601584
784,enabled,200,10601584
785,contempt,469,10601584
786,sea,2164,10601584
787,care,3505,10601584
788,wind,1560,10601584
789,taking,2573,10601584
790,south,741,10601584
791,completely,796,10601584
792,running,1126,10601584
793,deep,2398,10601584
794,venerable,168,10601584
795,disposition,382,10601584
796,seldom,403,10601584
797,respect,998,10601584
798,led,1631,10601584
799,scarcely,1274,10601584
800,month,814,10601584
801,remarks,386,10601584
802,act,1458,10601584
803,open,3697,10601584
804,blood,1788,10601584
805,upper,610,10601584
806,contrived,186,10601584
807,impatience,408,10601584
808,anxious,1133,10601584
809,intellect,232,10601584
810,peculiar,841,10601584
811,vulgar,460,10601584
812,unless,1117,10601584
813,arranged,643,10601584
814,celebrity,59,10601584
815,least,3858,10601584
816,numerous,236,10601584
817,quarter,798,10601584
818,rising,1022,10601584
819,beneath,1289,10601584
820,companion,1483,10601584
821,equal,599,10601584
822,soil,372,10601584
823,political,444,10601584
824,suggested,1027,10601584
