,id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear,authorLabel,book_QN,author_QN,F_name,M_name,name_match
1043,PG1425,,El Verdugo,"Balzac, Honoré de",1799.0,1850.0,['en'],66,{'French fiction -- Translations into English'},,El Verdugo,Balzac,http://www.wikidata.org/entity/Q2919909,http://www.wikidata.org/entity/Q9711,1799.0,Honoré de Balzac,Q2919909,Q9711,Honoré de Balzac,empty,100
1044,PG14280,,Holidays at Roselands: A Sequel to Elsie Dinsmore,"Finley, Martha",1828.0,1909.0,['en'],55,"{'Domestic fiction', 'Family life -- Southern States -- Juvenile fiction', 'Dinsmore, Elsie (Fictitious character) -- Juvenile fiction', 'Southern States -- History -- 19th century -- Juvenile fiction', 'Religious fiction', 'Christian life -- Juvenile fiction', 'Fathers and daughters -- Juvenile fiction'}",,Holidays at Roselands,Finley,http://www.wikidata.org/entity/Q124093592,http://www.wikidata.org/entity/Q6774396,1828.0,Martha Finley,Q124093592,Q6774396,Martha Finley,empty,100
1045,PG14288,,Mademoiselle de Maupin,"Gautier, Théophile",1811.0,1872.0,['fr'],88,"{'Triangles (Interpersonal relations) -- Fiction', 'Cross-dressing -- Fiction', 'French fiction -- 19th century', 'Man-woman relationships -- France -- Fiction'}",,Mademoiselle de Maupin,Gautier,http://www.wikidata.org/entity/Q3275960,http://www.wikidata.org/entity/Q183713,1811.0,Théophile Gautier,Q3275960,Q183713,Théophile Gautier,empty,100
1046,PG1429,,"The Garden Party, and Other Stories","Mansfield, Katherine",1888.0,1923.0,['en'],1802,"{'New Zealand -- Social life and customs -- Fiction', 'Short stories, New Zealand'}",,The Garden Party,Mansfield,http://www.wikidata.org/entity/Q7735828,http://www.wikidata.org/entity/Q270632,1888.0,Katherine Mansfield,Q7735828,Q270632,Katherine Mansfield,empty,100
1050,PG26463,,"The Garden Party, and Other Stories","Mansfield, Katherine",1888.0,1923.0,['en'],110,"{'New Zealand -- Social life and customs -- Fiction', 'Short stories, New Zealand'}",,The Garden Party,Mansfield,http://www.wikidata.org/entity/Q7735828,http://www.wikidata.org/entity/Q270632,1888.0,Katherine Mansfield,Q7735828,Q270632,Katherine Mansfield,empty,100
1054,PG14301,,Atlantida,"Benoît, Pierre",1886.0,1962.0,['en'],97,"{'French fiction -- 20th century -- Translations into English', 'Atlantis (Legendary place) -- Fiction', 'Fantasy fiction', 'Science fiction'}",,Atlantida,Benoît,http://www.wikidata.org/entity/Q3202526,http://www.wikidata.org/entity/Q551767,1886.0,Pierre Benoît,Q3202526,Q551767,Pierre Benoît,empty,100
1055,PG1430,,Beautiful Stories from Shakespeare,"Nesbit, E. (Edith)",1858.0,1924.0,['en'],1439,"{""Children's literature"", 'Shakespeare, William, 1564-1616 -- Stories, plots, etc. -- Juvenile literature'}",,Beautiful Stories from Shakespeare,Nesbit,http://www.wikidata.org/entity/Q4877815,http://www.wikidata.org/entity/Q231708,1858.0,Edith Nesbit,Q4877815,Q231708,E. Nesbit,Edith Nesbit,100
1056,PG1431,,Trooper Peter Halket of Mashonaland,"Schreiner, Olive",1855.0,1920.0,['en'],68,"{'Zimbabwe -- History -- Shona Revolt, 1896-1897 -- Fiction', 'Africa, Southern -- Fiction'}",,Trooper Peter Halket of Mashonaland,Schreiner,http://www.wikidata.org/entity/Q124090979,http://www.wikidata.org/entity/Q151180,1855.0,Olive Schreiner,Q124090979,Q151180,Olive Schreiner,empty,100
1057,PG14328,,The Consolation of Philosophy,Boethius,480.0,524.0,['en'],2858,"{'Philosophy and religion', 'Happiness'}",,The Consolation of Philosophy,Boethius,http://www.wikidata.org/entity/Q861927,http://www.wikidata.org/entity/Q102851,480.0,Boethius,Q861927,Q102851,Boethius,empty,100
1059,PG23082,,The Consolation of Philosophy,Boethius,480.0,524.0,['en'],300,"{'Philosophy and religion', 'Happiness'}",,The Consolation of Philosophy,Boethius,http://www.wikidata.org/entity/Q861927,http://www.wikidata.org/entity/Q102851,480.0,Boethius,Q861927,Q102851,Boethius,empty,100
1061,PG14355,,54-40 or Fight,"Hough, Emerson",1857.0,1923.0,['en'],37,"{'Historical fiction', 'Oregon Territory -- History -- Fiction', 'United States -- History -- 1815-1861 -- Fiction'}",,54-40 or Fight,Hough,http://www.wikidata.org/entity/Q48969082,http://www.wikidata.org/entity/Q5370892,1857.0,Emerson Hough,Q48969082,Q5370892,Emerson Hough,empty,100
