,id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear,authorLabel,book_QN,author_QN,F_name,M_name,name_match
1198,PG14885,,Red Pottage,"Cholmondeley, Mary",1859.0,1925.0,['en'],39,{'Fiction'},,Red Pottage,Cholmondeley,http://www.wikidata.org/entity/Q19902762,http://www.wikidata.org/entity/Q4942781,1859.0,Mary Cholmondeley,Q19902762,Q4942781,Mary Cholmondeley,empty,100
1199,PG14888,,The Inheritors,"Conrad, Joseph",1857.0,1924.0,['en'],77,{'Science fiction'},,The Inheritors,Conrad,http://www.wikidata.org/entity/Q7742035,http://www.wikidata.org/entity/Q82925,1857.0,Joseph Conrad,Q7742035,Q82925,Joseph Conrad,empty,100
1200,PG148,,The Autobiography of Benjamin Franklin,"Franklin, Benjamin",1706.0,1790.0,['en'],810,"{'Franklin, Benjamin, 1706-1790', 'Statesmen -- United States -- Biography'}",,The Autobiography of Benjamin Franklin,Franklin,http://www.wikidata.org/entity/Q7714957,http://www.wikidata.org/entity/Q34969,1706.0,Benjamin Franklin,Q7714957,Q34969,Benjamin Franklin,empty,100
1201,PG14907,,Living Alone,"Benson, Stella",1892.0,1933.0,['en'],79,"{'Witches -- Fiction', 'World War, 1914-1918 -- Fiction', 'Fantasy literature', 'London (England) -- Fiction'}",,Living Alone,Benson,http://www.wikidata.org/entity/Q111301788,http://www.wikidata.org/entity/Q2342103,1892.0,Stella Benson,Q111301788,Q2342103,Stella Benson,empty,100
1202,PG14957,,The Brimming Cup,"Fisher, Dorothy Canfield",1879.0,1958.0,['en'],47,"{'Vermont -- Fiction', 'Married women -- Fiction', 'Man-woman relationships -- Fiction'}",,The Brimming Cup,Fisher,http://www.wikidata.org/entity/Q118269698,http://www.wikidata.org/entity/Q5298346,1879.0,Dorothy Canfield Fisher,Q118269698,Q5298346,Dorothy Canfield Fisher,empty,100
1203,PG14970,,Academica,"Cicero, Marcus Tullius",-106.0,-43.0,"['en', 'la']",145,"{'Philosophy -- Early works to 1800', 'Knowledge, Theory of -- Early works to 1800'}",,Academica,Cicero,http://www.wikidata.org/entity/Q3603895,http://www.wikidata.org/entity/Q1541,-106.0,Cicero,Q3603895,Q1541,Marcus Tullius Cicero,empty,44
1204,PG1497,,The Republic,Plato,-428.0,-348.0,['en'],7929,"{'Political science -- Early works to 1800', 'Classical literature', 'Justice -- Early works to 1800', 'Utopias -- Early works to 1800'}",,The Republic,Plato,http://www.wikidata.org/entity/Q123397,http://www.wikidata.org/entity/Q859,-428.0,Plato,Q123397,Q859,Plato,empty,100
1206,PG150,,The Republic,Plato,-428.0,-348.0,['en'],377,"{'Political science -- Early works to 1800', 'Justice -- Early works to 1800', 'Utopias -- Early works to 1800'}",,The Republic,Plato,http://www.wikidata.org/entity/Q123397,http://www.wikidata.org/entity/Q859,-428.0,Plato,Q123397,Q859,Plato,empty,100
1208,PG15000,,The Life of Reason: The Phases of Human Progress,"Santayana, George",1863.0,1952.0,['en'],387,{'Philosophy'},,The Life of Reason,Santayana,http://www.wikidata.org/entity/Q7747205,http://www.wikidata.org/entity/Q237833,1863.0,George Santayana,Q7747205,Q237833,George Santayana,empty,100
1210,PG15032,,Hamlet,"Shakespeare, William",1564.0,1616.0,['fr'],67,"{'Denmark -- Drama', ""Murder victims' families -- Drama"", 'Kings and rulers -- Succession -- Drama', 'Tragedies', 'Princes -- Drama', 'Hamlet (Legendary character) -- Drama', 'Revenge -- Drama', 'Fathers -- Death -- Drama'}",,Hamlet,Shakespeare,http://www.wikidata.org/entity/Q109407787,http://www.wikidata.org/entity/Q692,1564.0,William Shakespeare,Q109407787,Q692,William Shakespeare,empty,100
1217,PG1524,,"Hamlet, Prince of Denmark","Shakespeare, William",1564.0,1616.0,['en'],4939,"{'Denmark -- Drama', ""Murder victims' families -- Drama"", 'Kings and rulers -- Succession -- Drama', 'Tragedies', 'Princes -- Drama', 'Hamlet (Legendary character) -- Drama', 'Revenge -- Drama', 'Fathers -- Death -- Drama'}",,Hamlet,Shakespeare,http://www.wikidata.org/entity/Q109407787,http://www.wikidata.org/entity/Q692,1564.0,William Shakespeare,Q109407787,Q692,William Shakespeare,empty,100
1224,PG15632,,Hamlet,"Shakespeare, William",1564.0,1616.0,['fi'],79,"{'Denmark -- Drama', ""Murder victims' families -- Drama"", 'Kings and rulers -- Succession -- Drama', 'Tragedies', 'Princes -- Drama', 'Hamlet (Legendary character) -- Drama', 'Revenge -- Drama', 'Fathers -- Death -- Drama'}",,Hamlet,Shakespeare,http://www.wikidata.org/entity/Q109407787,http://www.wikidata.org/entity/Q692,1564.0,William Shakespeare,Q109407787,Q692,William Shakespeare,empty,100
1231,PG1787,,Hamlet,"Shakespeare, William",1564.0,1616.0,['en'],618,"{'Denmark -- Drama', ""Murder victims' families -- Drama"", 'Kings and rulers -- Succession -- Drama', 'Tragedies', 'Princes -- Drama', 'Hamlet (Legendary character) -- Drama', 'Revenge -- Drama', 'Fathers -- Death -- Drama'}",,Hamlet,Shakespeare,http://www.wikidata.org/entity/Q109407787,http://www.wikidata.org/entity/Q692,1564.0,William Shakespeare,Q109407787,Q692,William Shakespeare,empty,100
1238,PG2265,,Hamlet,"Shakespeare, William",1564.0,1616.0,['en'],1623,"{'Denmark -- Drama', ""Murder victims' families -- Drama"", 'Kings and rulers -- Succession -- Drama', 'Tragedies', 'Princes -- Drama', 'Hamlet (Legendary character) -- Drama', 'Revenge -- Drama', 'Fathers -- Death -- Drama'}",,Hamlet,Shakespeare,http://www.wikidata.org/entity/Q109407787,http://www.wikidata.org/entity/Q692,1564.0,William Shakespeare,Q109407787,Q692,William Shakespeare,empty,100
1245,PG25667,,Hamlet: Drama em cinco Actos,"Shakespeare, William",1564.0,1616.0,['pt'],232,"{'Denmark -- Drama', ""Murder victims' families -- Drama"", 'Kings and rulers -- Succession -- Drama', 'Tragedies', 'Princes -- Drama', 'Hamlet (Legendary character) -- Drama', 'Revenge -- Drama', 'Fathers -- Death -- Drama'}",,Hamlet,Shakespeare,http://www.wikidata.org/entity/Q109407787,http://www.wikidata.org/entity/Q692,1564.0,William Shakespeare,Q109407787,Q692,William Shakespeare,empty,100
1252,PG27761,,"Hamlet, Prince of Denmark","Shakespeare, William",1564.0,1616.0,['en'],2736,"{'Denmark -- Drama', ""Murder victims' families -- Drama"", 'Kings and rulers -- Succession -- Drama', 'Tragedies', 'Princes -- Drama', 'Hamlet (Legendary character) -- Drama', 'Revenge -- Drama', 'Fathers -- Death -- Drama'}",,Hamlet,Shakespeare,http://www.wikidata.org/entity/Q109407787,http://www.wikidata.org/entity/Q692,1564.0,William Shakespeare,Q109407787,Q692,William Shakespeare,empty,100
1259,PG15033,,Tell England: A Study in a Generation,"Raymond, Ernest",1888.0,1974.0,['en'],26,"{'World War, 1914-1918 -- Fiction'}",,Tell England,Raymond,http://www.wikidata.org/entity/Q7697394,http://www.wikidata.org/entity/Q5393723,1888.0,Ernest Raymond,Q7697394,Q5393723,Ernest Raymond,empty,100
1260,PG1505,,The Rape of Lucrece,"Shakespeare, William",1564.0,1616.0,['en'],191,{'Poetry'},,The Rape of Lucrece,Shakespeare,http://www.wikidata.org/entity/Q1398793,http://www.wikidata.org/entity/Q692,1564.0,William Shakespeare,Q1398793,Q692,William Shakespeare,empty,100
1261,PG15067,,The Cathedral,"Huysmans, J.-K. (Joris-Karl)",1848.0,1907.0,['en'],61,{'Fiction'},,The Cathedral,Huysmans,http://www.wikidata.org/entity/Q7721712,http://www.wikidata.org/entity/Q210798,1848.0,Joris-Karl Huysmans,Q7721712,Q210798,J.-K. Huysmans,Joris-Karl Huysmans,100
1262,PG15077,,The Tale of Mr. Jeremy Fisher,"Potter, Beatrix",1866.0,1943.0,['en'],308,{'Frogs -- Juvenile fiction'},,The Tale of Mr. Jeremy Fisher,Potter,http://www.wikidata.org/entity/Q4272137,http://www.wikidata.org/entity/Q214565,1866.0,Beatrix Potter,Q4272137,Q214565,Beatrix Potter,empty,100
