book,author,birthYear,bookLabel,authorLabel,authorLast
http://www.wikidata.org/entity/Q80694052,http://www.wikidata.org/entity/Q268305,1743,Poems,Anna Laetitia Barbauld,Barbauld
http://www.wikidata.org/entity/Q80724426,http://www.wikidata.org/entity/Q272537,1793,Poems,Felicia Hemans,Hemans
http://www.wikidata.org/entity/Q80725631,http://www.wikidata.org/entity/Q16066354,1778,Poems,Margaret Holford,Holford
http://www.wikidata.org/entity/Q83440636,http://www.wikidata.org/entity/Q50383816,1773,Poems,J.S. Anna Liddiard,Liddiard
http://www.wikidata.org/entity/Q105496083,http://www.wikidata.org/entity/Q4198478,1922,Poems,Sergey Izgiyayev,Izgiyayev
http://www.wikidata.org/entity/Q109767696,http://www.wikidata.org/entity/Q951010,1926,Poems,Frank O'Hara,O'Hara
http://www.wikidata.org/entity/Q117450610,http://www.wikidata.org/entity/Q45546,1770,Poems,William Wordsworth,Wordsworth
http://www.wikidata.org/entity/Q117458723,http://www.wikidata.org/entity/Q2978887,1779,Poems,Clement Clarke Moore,Moore
http://www.wikidata.org/entity/Q117486968,http://www.wikidata.org/entity/Q5648827,1788,Poems,Hannah Flagg Gould,Gould
http://www.wikidata.org/entity/Q117748698,http://www.wikidata.org/entity/Q3664258,1835,Poems,Celia Thaxter,Thaxter
http://www.wikidata.org/entity/Q120177616,http://www.wikidata.org/entity/Q71456,1748,Poems,Ludwig Christoph Heinrich Hölty,Hölty
http://www.wikidata.org/entity/Q7745380,http://www.wikidata.org/entity/Q477999,1868,The Land of Little Rain,Mary Hunter Austin,Austin
http://www.wikidata.org/entity/Q3235199,http://www.wikidata.org/entity/Q6759691,1861,Beautiful Joe,Margaret Marshall Saunders,Saunders
http://www.wikidata.org/entity/Q3235199,http://www.wikidata.org/entity/Q6759691,1861,Beautiful Joe,Margaret Marshall Saunders,Saunders
http://www.wikidata.org/entity/Q883305,http://www.wikidata.org/entity/Q5686,1812,Bleak House,Charles Dickens,Dickens
http://www.wikidata.org/entity/Q2753955,http://www.wikidata.org/entity/Q1512,1850,The Wrecker,Robert Louis Stevenson,Stevenson
http://www.wikidata.org/entity/Q2753955,http://www.wikidata.org/entity/Q1387643,1868,The Wrecker,Lloyd Osbourne,Osbourne
http://www.wikidata.org/entity/Q7776285,http://www.wikidata.org/entity/Q59672,1896,The Wrecker,Arnold Ridley,Ridley
http://www.wikidata.org/entity/Q7776287,http://www.wikidata.org/entity/Q366266,1931,The Wrecker,Clive Cussler,Cussler
http://www.wikidata.org/entity/Q624852,http://www.wikidata.org/entity/Q41568,1533,Essays,Michel de Montaigne,Montaigne
http://www.wikidata.org/entity/Q3944819,http://www.wikidata.org/entity/Q37388,1561,Essays,Francis Bacon,Bacon
http://www.wikidata.org/entity/Q115301283,http://www.wikidata.org/entity/Q4766622,1823,Essays,Ann Plato,Plato
