,author,birthYear,authorLabel,genderLabel,citizenshipLabel,religionLabel,nativeLanguageLabel,deathYear
1,http://www.wikidata.org/entity/Q35610,1859,Arthur Conan Doyle,male,United Kingdom of Great Britain and Ireland,spiritism,English,1930
2,http://www.wikidata.org/entity/Q35610,1859,Arthur Conan Doyle,male,United Kingdom,lapsed Catholic,English,1930
3,http://www.wikidata.org/entity/Q35610,1859,Arthur Conan Doyle,male,United Kingdom of Great Britain and Ireland,lapsed Catholic,English,1930
0,http://www.wikidata.org/entity/Q82925,1857,Joseph Conrad,male,United Kingdom,atheism,,1924
1,http://www.wikidata.org/entity/Q82925,1857,Joseph Conrad,male,Russian Empire,atheism,,1924
2,http://www.wikidata.org/entity/Q82925,1857,Joseph Conrad,male,United Kingdom of Great Britain and Ireland,atheism,,1924
3,http://www.wikidata.org/entity/Q82925,1857,Joseph Conrad,male,Second Polish Republic,atheism,,1924
0,http://www.wikidata.org/entity/Q36322,1775,Jane Austen,female,Kingdom of Great Britain,Anglicanism,English,1817
1,http://www.wikidata.org/entity/Q36322,1775,Jane Austen,female,United Kingdom of Great Britain and Ireland,Anglicanism,English,1817
0,http://www.wikidata.org/entity/Q16867,1809,Edgar Allan Poe,male,United States of America,,American English,1849
0,http://www.wikidata.org/entity/Q314158,1867,Arnold Bennett,male,United Kingdom,,,1931
0,http://www.wikidata.org/entity/Q502912,1861,J. B. Bury,male,United Kingdom,,,1927
1,http://www.wikidata.org/entity/Q502912,1861,J. B. Bury,male,United Kingdom of Great Britain and Ireland,,,1927
0,http://www.wikidata.org/entity/Q148234,1875,Edgar Rice Burroughs,male,United States of America,,English,1950
0,http://www.wikidata.org/entity/Q25351,1817,Theodor Mommsen,male,Duchy of Schleswig,,,1903
1,http://www.wikidata.org/entity/Q25351,1817,Theodor Mommsen,male,Kingdom of Prussia,,,1903
0,http://www.wikidata.org/entity/Q504,1840,Émile Zola,male,France,atheism,French,1902
0,http://www.wikidata.org/entity/Q1371577,1864,James Allen,male,United Kingdom of Great Britain and Ireland,,,1912
0,http://www.wikidata.org/entity/Q1676368,1858,J. Meade Falkner,male,United Kingdom,,,1932
1,http://www.wikidata.org/entity/Q1676368,1858,J. Meade Falkner,male,United Kingdom of Great Britain and Ireland,,,1932
0,http://www.wikidata.org/entity/Q9327,1850,Guy de Maupassant,male,France,,French,1893
0,http://www.wikidata.org/entity/Q202749,1868,Edmond Rostand,male,France,,French,1918
0,http://www.wikidata.org/entity/Q131333,1819,George Eliot,female,United Kingdom of Great Britain and Ireland,atheism,English,1880
1,http://www.wikidata.org/entity/Q131333,1819,George Eliot,female,United Kingdom of Great Britain and Ireland,agnosticism,English,1880
0,http://www.wikidata.org/entity/Q132805,1840,Thomas Hardy,male,United Kingdom,,,1928
0,http://www.wikidata.org/entity/Q259132,1577,Robert Burton,male,United Kingdom,Anglicanism,,1640
0,http://www.wikidata.org/entity/Q458658,1878,"Edward Plunkett, 18th Baron of Dunsany",male,Republic of Ireland,,,1957
1,http://www.wikidata.org/entity/Q458658,1878,"Edward Plunkett, 18th Baron of Dunsany",male,United Kingdom,,,1957
2,http://www.wikidata.org/entity/Q458658,1878,"Edward Plunkett, 18th Baron of Dunsany",male,Irish Free State,,,1957
3,http://www.wikidata.org/entity/Q458658,1878,"Edward Plunkett, 18th Baron of Dunsany",male,United Kingdom of Great Britain and Ireland,,,1957
4,http://www.wikidata.org/entity/Q458658,1878,"Edward Plunkett, 18th Baron of Dunsany",male,Irish Republic,,,1957
0,http://www.wikidata.org/entity/Q41166,1667,Jonathan Swift,male,Republic of Ireland,Anglicanism,English,1745
1,http://www.wikidata.org/entity/Q41166,1667,Jonathan Swift,male,Kingdom of Ireland,Anglicanism,English,1745
0,http://www.wikidata.org/entity/Q43718,1809,Nikolai Gogol,male,Russian Empire,Eastern Orthodoxy,Ukrainian,1852
0,http://www.wikidata.org/entity/Q313932,1584,Francis Beaumont,male,United Kingdom of Great Britain and Ireland,,,1616
0,http://www.wikidata.org/entity/Q771698,1867,Edward Frederic Benson,male,United Kingdom,,,1940
