,id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear,authorLabel,book_QN,author_QN
330,PG47560,,The Schoolmistress: A Farce in Three Acts,"Pinero, Arthur Wing",1855,1934,['en'],23,"{'English drama -- 19th century', 'Comedies'}",,The Schoolmistress,Pinero,http://www.wikidata.org/entity/Q65122001,http://www.wikidata.org/entity/Q712073,1855,Arthur Wing Pinero,Q65122001,Q712073
331,PG47575,,The Story of a Country Town,"Howe, E. W. (Edgar Watson)",1853,1937,['en'],35,{'Frontier and pioneer life -- Kansas -- Fiction'},,The Story of a Country Town,Howe,http://www.wikidata.org/entity/Q7766816,http://www.wikidata.org/entity/Q5322211,1853,E. W. Howe,Q7766816,Q5322211
332,PG47591,,"The Ladies Lindores, Vol. 1 (of 3)","Oliphant, Mrs. (Margaret)",1828,1897,['en'],30,"{'Husband and wife -- Fiction', 'Aristocracy (Social class) -- Great Britain -- Fiction', 'Scotland -- Social life and customs -- 19th century -- Fiction', 'Mate selection -- Fiction', 'Inheritance and succession -- Fiction', 'Families -- Fiction'}",,The Ladies Lindores,Oliphant,http://www.wikidata.org/entity/Q124088555,http://www.wikidata.org/entity/Q2415217,1828,Margaret Oliphant,Q124088555,Q2415217
342,PG4761,,The Cossacks: A Tale of 1852,"Tolstoy, Leo, graf",1828,1910,['en'],323,"{'Russia -- History -- Nicholas I, 1825-1855 -- Fiction', 'Caucasus -- Fiction'}",,The Cossacks,Tolstoy,http://www.wikidata.org/entity/Q1214043,http://www.wikidata.org/entity/Q7243,1828,Leo Tolstoy,Q1214043,Q7243
343,PG47634,,Sons and Lovers,"Lawrence, D. H. (David Herbert)",1885,1930,['en'],220,"{'Autobiographical fiction', 'Domestic fiction', 'England -- Fiction', 'Working class families -- Fiction', 'Young men -- Fiction', 'Bildungsromans'}",,Sons and Lovers,Lawrence,http://www.wikidata.org/entity/Q80771,http://www.wikidata.org/entity/Q34970,1885,D. H. Lawrence,Q80771,Q34970
344,PG4763,,The Game of Logic,"Carroll, Lewis",1832,1898,['en'],374,"{'Logic -- Juvenile literature', 'Logic, Symbolic and mathematical'}",,The Game of Logic,Carroll,http://www.wikidata.org/entity/Q16838373,http://www.wikidata.org/entity/Q38082,1832,Lewis Carroll,Q16838373,Q38082
345,PG4765,,Loyalties,"Galsworthy, John",1867,1933,['en'],160,{'English drama'},,Loyalties,Galsworthy,http://www.wikidata.org/entity/Q6694472,http://www.wikidata.org/entity/Q82248,1867,John Galsworthy,Q6694472,Q82248
346,PG4776,,Political Ideals,"Russell, Bertrand",1872,1970,['en'],202,"{'Political science', 'Economics', 'Socialism', 'Individualism'}",,Political Ideals,Russell,http://www.wikidata.org/entity/Q16262802,http://www.wikidata.org/entity/Q33760,1872,Bertrand Russell,Q16262802,Q33760
347,PG47771,,"Mirk Abbey, Volume 1 (of 3)","Payn, James",1830,1898,['en'],25,{'Fiction'},,Mirk Abbey,Payn,http://www.wikidata.org/entity/Q124085180,http://www.wikidata.org/entity/Q6141084,1830,James Payn,Q124085180,Q6141084
356,PG47774,,The Observations of Henry: Illustrated,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,['en'],17,"{'Waiters -- Fiction', 'England -- Social life and customs -- Fiction', 'Short stories, English'}",,The Observations of Henry,Jerome,http://www.wikidata.org/entity/Q111271925,http://www.wikidata.org/entity/Q218698,1859,Jerome K. Jerome,Q111271925,Q218698
