,Unnamed: 0,id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear,authorLabel,book_QN,author_QN,name
493,1211,PG15226,,Nanon: La bibliothèque précieuse,"Sand, George",1804,1876.0,['fr'],20,{'French fiction -- 19th century'},,Nanon,Sand,http://www.wikidata.org/entity/Q40609887,http://www.wikidata.org/entity/Q3816,1804,George Sand,Q40609887,Q3816,George Sand
495,1213,PG1525,,The Phoenix and the Turtle,"Shakespeare, William",1564,1616.0,['en'],54,{'Poetry'},,The Phoenix and the Turtle,Shakespeare,http://www.wikidata.org/entity/Q1196220,http://www.wikidata.org/entity/Q692,1564,William Shakespeare,Q1196220,Q692,William Shakespeare
496,1214,PG15263,,"The Underground Railroad: A Record of Facts, Authentic Narratives, Letters, &c., Narrating the Hardships, Hair-Breadth Escapes and Death Struggles of the Slaves in Their Efforts for Freedom, As Related by Themselves and Others, or Witnessed by the Author.","Still, William",1821,1902.0,['en'],624,"{'Fugitive slaves -- United States -- History -- 19th century', 'Underground Railroad', 'Abolitionists -- United States -- Biography', 'Antislavery movements -- United States -- History -- 19th century', 'Fugitive slaves -- United States -- Biography'}",,The Underground Railroad,Still,http://www.wikidata.org/entity/Q7771382,http://www.wikidata.org/entity/Q3568976,1821,William Still,Q7771382,Q3568976,William Still
497,1215,PG15284,,The Tale of Johnny Town-Mouse,"Potter, Beatrix",1866,1943.0,['en'],182,"{'Folklore', 'Mice -- Fiction', 'Fables'}",,The Tale of Johnny Town-Mouse,Potter,http://www.wikidata.org/entity/Q6621583,http://www.wikidata.org/entity/Q214565,1866,Beatrix Potter,Q6621583,Q214565,Beatrix Potter
498,1216,PG15335,,Madame Chrysanthème,"Loti, Pierre",1850,1923.0,['en'],37,{'Japan -- Fiction'},,Madame Chrysanthème,Loti,http://www.wikidata.org/entity/Q3275255,http://www.wikidata.org/entity/Q311854,1850,Pierre Loti,Q3275255,Q311854,Pierre Loti
499,1220,PG15357,,The Notorious Mrs. Ebbsmith,"Pinero, Arthur Wing",1855,1934.0,['en'],12,"{'Man-woman relationships -- Drama', 'Great Britain -- Social conditions -- 19th century -- Drama', 'English drama -- 19th century', 'Marriage -- Drama', 'Adultery -- Drama'}",,The Notorious Mrs. Ebbsmith,Pinero,http://www.wikidata.org/entity/Q7754434,http://www.wikidata.org/entity/Q712073,1855,Arthur Wing Pinero,Q7754434,Q712073,Arthur Wing Pinero
500,1221,PG15396,,Tender Buttons: Objects—Food—Rooms,"Stein, Gertrude",1874,1946.0,['en'],1100,{'Prose poems'},,Tender Buttons,Stein,http://www.wikidata.org/entity/Q7699617,http://www.wikidata.org/entity/Q188385,1874,Gertrude Stein,Q7699617,Q188385,Gertrude Stein
501,1222,PG153,,Jude the Obscure,"Hardy, Thomas",1840,1928.0,['en'],1003,"{'Love stories', 'Didactic fiction', 'Children -- Death -- Fiction', 'Wessex (England) -- Fiction', 'Adultery -- Fiction', 'Unmarried couples -- Fiction', 'Illegitimate children -- Fiction', 'Stonemasons -- Fiction'}",,Jude the Obscure,Hardy,http://www.wikidata.org/entity/Q1248773,http://www.wikidata.org/entity/Q132805,1840,Thomas Hardy,Q1248773,Q132805,Thomas Hardy
502,1223,PG15408,,"Three Lives: Stories of The Good Anna, Melanctha and The Gentle Lena","Stein, Gertrude",1874,1946.0,['en'],236,{'Working class women -- Fiction'},,Three Lives,Stein,http://www.wikidata.org/entity/Q7797597,http://www.wikidata.org/entity/Q188385,1874,Gertrude Stein,Q7797597,Q188385,Gertrude Stein
504,1225,PG15411,,"A Voyage to the South Sea: Undertaken by command of His Majesty for the purpose of conveying the bread-fruit tree to the West Indies in His Majesty's ship the Bounty commanded by Lieutenant William Bligh; including an account of the mutiny on board the said ship and the subsequent voyage of part of the crew in the ship's boat from Tofoa, one of the Friendly Islands, to Timor, a Dutch settlement in the East Indies","Bligh, William",1754,1817.0,['en'],209,"{'Bounty Mutiny, 1789', 'Voyages and travels', 'Oceania -- Description and travel -- Early works to 1800', 'Bounty (Ship)'}",,A Voyage to the South Sea,Bligh,http://www.wikidata.org/entity/Q19027021,http://www.wikidata.org/entity/Q294147,1754,William Bligh,Q19027021,Q294147,William Bligh
505,1226,PG15422,,Israel Potter: His Fifty Years of Exile,"Melville, Herman",1819,1891.0,['en'],61,"{'Potter, Israel, 1744-1826? -- Fiction'}",,Israel Potter,Melville,http://www.wikidata.org/entity/Q6087143,http://www.wikidata.org/entity/Q4985,1819,Herman Melville,Q6087143,Q4985,Herman Melville
506,1227,PG15482,,The Primrose Ring,"Sawyer, Ruth",1880,1970.0,['en'],16,"{'Medical fiction', 'Fairy tales'}",,The Primrose Ring,Sawyer,http://www.wikidata.org/entity/Q16254272,http://www.wikidata.org/entity/Q4977173,1880,Ruth Sawyer,Q16254272,Q4977173,Ruth Sawyer
507,1228,PG15487,,Democracy and Social Ethics,"Addams, Jane",1860,1935.0,['en'],164,"{'Social sciences', 'United States -- Social conditions -- 1865-1918', 'Social ethics'}",,Democracy and Social Ethics,Addams,http://www.wikidata.org/entity/Q3043518,http://www.wikidata.org/entity/Q180989,1860,Jane Addams,Q3043518,Q180989,Jane Addams
508,1229,PG15489,,Dream Psychology: Psychoanalysis for Beginners,"Freud, Sigmund",1856,1939.0,['en'],767,"{'Psychoanalysis', 'Dreams'}",,Dream Psychology,Freud,http://www.wikidata.org/entity/Q19114775,http://www.wikidata.org/entity/Q9215,1856,Sigmund Freud,Q19114775,Q9215,Sigmund Freud
