,word,count_s,corpos_S
280,dead,2031,5150227
281,anything,2517,5150227
282,within,2206,5150227
283,water,2630,5150227
284,lost,1553,5150227
285,mooncalf,25,5150227
286,put,2780,5150227
287,suppose,1144,5150227
288,sight,1537,5150227
289,want,2343,5150227
290,direction,1169,5150227
291,faint,565,5150227
292,stuff,721,5150227
293,without,4400,5150227
294,people,4089,5150227
295,coming,1765,5150227
296,rather,1782,5150227
297,planet,1667,5150227
298,cold,1261,5150227
299,shadow,617,5150227
300,rock,827,5150227
301,beings,356,5150227
302,message,486,5150227
303,business,872,5150227
304,soon,2238,5150227
305,few,3472,5150227
306,gave,2139,5150227
307,near,1703,5150227
308,thin,632,5150227
309,leap,189,5150227
310,perceived,403,5150227
311,larger,635,5150227
312,means,1419,5150227
313,thrust,458,5150227
314,earthly,238,5150227
315,tunnel,326,5150227
316,shall,3484,5150227
317,possible,1653,5150227
318,rest,1521,5150227
319,times,1456,5150227
320,four,2041,5150227
321,short,1352,5150227
322,human,1880,5150227
323,grew,886,5150227
324,terrestrial,217,5150227
325,body,2369,5150227
326,answer,1207,5150227
327,making,1260,5150227
328,amidst,254,5150227
329,matter,2259,5150227
330,nearer,515,5150227
331,window,965,5150227
332,question,1295,5150227
333,seems,923,5150227
334,stars,846,5150227
335,small,2508,5150227
336,young,1818,5150227
337,give,2419,5150227
338,sense,1200,5150227
339,play,534,5150227
340,close,1777,5150227
341,lit,310,5150227
342,nor,2258,5150227
343,wind,912,5150227
344,himself,4081,5150227
345,less,1905,5150227
346,able,1606,5150227
347,taken,1591,5150227
348,tried,1472,5150227
349,line,1479,5150227
350,windows,477,5150227
351,legs,499,5150227
352,broken,909,5150227
353,surface,1282,5150227
354,atmosphere,699,5150227
355,manhole,27,5150227
356,vague,301,5150227
357,save,1133,5150227
358,effect,815,5150227
359,leapt,128,5150227
360,high,1900,5150227
361,scrub,37,5150227
362,front,1060,5150227
363,gone,1879,5150227
364,believe,1681,5150227
365,outside,1163,5150227
366,across,2222,5150227
367,big,1564,5150227
368,simply,774,5150227
369,next,2035,5150227
370,second,1986,5150227
371,absolutely,484,5150227
372,mouth,987,5150227
373,floor,1334,5150227
374,thick,616,5150227
375,food,1112,5150227
376,become,1165,5150227
377,running,926,5150227
378,feeling,967,5150227
379,since,2812,5150227
380,either,1757,5150227
381,arm,1372,5150227
382,sounds,470,5150227
383,comes,673,5150227
384,always,2150,5150227
385,westward,113,5150227
386,attention,961,5150227
387,touch,732,5150227
388,really,1579,5150227
389,fact,1852,5150227
390,during,1510,5150227
391,words,1924,5150227
392,mere,531,5150227
393,appearance,538,5150227
394,keep,1790,5150227
395,heat,758,5150227
396,order,1461,5150227
397,hit,658,5150227
398,forward,1430,5150227
399,looking,1637,5150227
400,hundred,2586,5150227
401,silence,1189,5150227
402,feel,1221,5150227
403,staring,463,5150227
404,plants,237,5150227
