,word,count_f,corpos_F
280,put,4170,7681596
281,looking,2950,7681596
282,part,3603,7681596
283,coming,2403,7681596
284,bushes,428,7681596
285,quiet,899,7681596
286,floor,1733,7681596
287,dead,3745,7681596
288,faint,685,7681596
289,vanished,610,7681596
290,river,2133,7681596
291,man,14979,7681596
292,opening,941,7681596
293,kept,1712,7681596
294,less,2150,7681596
295,gutenberg,903,7681596
296,close,2377,7681596
297,alone,3054,7681596
298,scarcely,1023,7681596
299,morning,3018,7681596
300,who,22282,7681596
301,fell,3787,7681596
302,aware,500,7681596
303,least,2454,7681596
304,also,5229,7681596
305,conscious,321,7681596
306,plain,1276,7681596
307,cold,1538,7681596
308,black,3156,7681596
309,remembered,799,7681596
310,others,3452,7681596
311,instant,1269,7681596
312,better,3376,7681596
313,outside,1139,7681596
314,puzzled,349,7681596
315,blackness,234,7681596
316,red,2507,7681596
317,attention,989,7681596
318,terms,1072,7681596
319,set,4443,7681596
320,hours,1506,7681596
321,near,2824,7681596
322,idea,1245,7681596
323,steadily,305,7681596
324,going,4010,7681596
325,surface,798,7681596
326,since,4576,7681596
327,chair,908,7681596
328,between,3673,7681596
329,gloom,403,7681596
330,enormous,489,7681596
331,gun,391,7681596
332,use,2141,7681596
333,doubt,1654,7681596
334,foundation,845,7681596
335,soft,1071,7681596
336,tell,6580,7681596
337,well,10451,7681596
338,rising,850,7681596
339,indeed,3993,7681596
340,distant,743,7681596
341,quite,4016,7681596
342,enough,3972,7681596
343,tremendous,258,7681596
344,opened,1885,7681596
345,broken,1265,7681596
346,candle,312,7681596
347,deep,1903,7681596
348,vision,456,7681596
349,size,579,7681596
350,copyright,797,7681596
351,say,6978,7681596
352,never,8673,7681596
353,somewhat,1791,7681596
354,stone,1858,7681596
355,ears,1300,7681596
356,nearer,819,7681596
357,falling,686,7681596
358,wondered,795,7681596
359,too,6456,7681596
360,candles,229,7681596
361,stars,769,7681596
362,life,5414,7681596
363,shadow,1096,7681596
364,minutes,1080,7681596
365,growing,742,7681596
366,pad,29,7681596
367,agreement,756,7681596
368,leave,2520,7681596
369,taking,1532,7681596
370,rock,1453,7681596
371,soon,3849,7681596
372,told,5047,7681596
373,onward,157,7681596
374,matter,2959,7681596
375,followed,2437,7681596
376,somewhere,494,7681596
377,air,2962,7681596
378,gaze,448,7681596
379,caught,1649,7681596
380,ceased,713,7681596
381,struck,1371,7681596
382,movement,442,7681596
383,peered,214,7681596
384,happened,1769,7681596
385,already,2467,7681596
386,hands,4309,7681596
387,occurred,515,7681596
388,states,759,7681596
389,village,1096,7681596
390,open,2985,7681596
391,past,1680,7681596
392,possible,1410,7681596
393,mountains,1354,7681596
394,find,4773,7681596
395,glance,703,7681596
396,mouth,1781,7681596
397,terror,985,7681596
398,reaching,335,7681596
399,evidently,768,7681596
400,north,1380,7681596
401,heavy,1339,7681596
