book,author,birthYear,bookLabel,authorLabel,authorLast,book_QN,author_QN
http://www.wikidata.org/entity/Q43361,http://www.wikidata.org/entity/Q34660,1965,Harry Potter and the Philosopher's Stone,J. K. Rowling,Rowling,Q43361,Q34660
http://www.wikidata.org/entity/Q286611,http://www.wikidata.org/entity/Q34628,1729,Nathan the Wise,Gotthold Ephraim Lessing,Lessing,Q286611,Q34628
http://www.wikidata.org/entity/Q3972855,http://www.wikidata.org/entity/Q732128,1960,The Rainbow,Sergio Bambaren,Bambaren,Q3972855,Q732128
http://www.wikidata.org/entity/Q5717705,http://www.wikidata.org/entity/Q78491,1881,Balzac,Stefan Zweig,Zweig,Q5717705,Q78491
http://www.wikidata.org/entity/Q1129859,http://www.wikidata.org/entity/Q991,1821,Uncle's Dream,Fyodor Dostoyevsky,Dostoyevsky,Q1129859,Q991
http://www.wikidata.org/entity/Q7106320,http://www.wikidata.org/entity/Q6531163,1910,Oscar Wilde,Leslie Stokes,Stokes,Q7106320,Q6531163
http://www.wikidata.org/entity/Q7106320,http://www.wikidata.org/entity/Q7458228,1902,Oscar Wilde,Sewell Stokes,Stokes,Q7106320,Q7458228
http://www.wikidata.org/entity/Q83533338,http://www.wikidata.org/entity/Q1233576,1918,Oscar Wilde,Richard Ellmann,Ellmann,Q83533338,Q1233576
http://www.wikidata.org/entity/Q124056735,http://www.wikidata.org/entity/Q7627085,1881,Oscar Wilde,Stuart Sherman,Sherman,Q124056735,Q7627085
http://www.wikidata.org/entity/Q129253,http://www.wikidata.org/entity/Q6527,1712,Pygmalion,Jean-Jacques Rousseau,Rousseau,Q129253,Q6527
http://www.wikidata.org/entity/Q6690343,http://www.wikidata.org/entity/Q207515,1881,Love Among the Chickens,P. G. Wodehouse,Wodehouse,Q6690343,Q207515
http://www.wikidata.org/entity/Q5338138,http://www.wikidata.org/entity/Q4718581,1967,Edinburgh,Alexander Chee,Chee,Q5338138,Q4718581
http://www.wikidata.org/entity/Q3222389,http://www.wikidata.org/entity/Q38392,1897,The Mansion,William Faulkner,Faulkner,Q3222389,Q38392
