,work,genre,workLabel,genreLabel,PublicationYear
3,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q6960620,Around the World in Eighty Days,travel novel,1873
4,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q21802675,Around the World in Eighty Days,adventure fiction,1872
5,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q21802675,Around the World in Eighty Days,adventure fiction,1873
6,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q56451354,Around the World in Eighty Days,children's fiction,1872
7,http://www.wikidata.org/entity/Q1219561,http://www.wikidata.org/entity/Q56451354,Around the World in Eighty Days,children's fiction,1873
0,http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q40831,Torquato Tasso,comedy,1790
1,http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q1370860,Torquato Tasso,verse drama,1790
2,http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q102430127,Torquato Tasso,coming-of-age drama,1790
0,http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q40831,Torquato Tasso,comedy,1790
1,http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q1370860,Torquato Tasso,verse drama,1790
2,http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q102430127,Torquato Tasso,coming-of-age drama,1790
0,http://www.wikidata.org/entity/Q246436,,Miss Lulu Bett,,1921
0,http://www.wikidata.org/entity/Q1152137,,Extract from Captain Stormfield's Visit to Heaven,,1909
0,http://www.wikidata.org/entity/Q1066765,http://www.wikidata.org/entity/Q474090,Venus and Adonis,narrative poetry,1593
0,http://www.wikidata.org/entity/Q4821965,,Aunt Jane's Nieces in Society,,1910
0,http://www.wikidata.org/entity/Q7296258,,Rautatie,,1884
0,http://www.wikidata.org/entity/Q7296258,,Rautatie,,1884
0,http://www.wikidata.org/entity/Q1134140,http://www.wikidata.org/entity/Q2561390,Sartor Resartus,comic novel,1833
0,http://www.wikidata.org/entity/Q1134140,http://www.wikidata.org/entity/Q2561390,Sartor Resartus,comic novel,1833
0,http://www.wikidata.org/entity/Q6917312,http://www.wikidata.org/entity/Q56451354,Mother Carey's Chickens,children's fiction,1910
0,http://www.wikidata.org/entity/Q23307980,http://www.wikidata.org/entity/Q7440128,The Sea Lions,nautical fiction,1849
0,http://www.wikidata.org/entity/Q7754884,,The Old Man in the Corner,,1908
0,http://www.wikidata.org/entity/Q1317839,http://www.wikidata.org/entity/Q783459,Martin Eden,Künstlerroman,1909
0,http://www.wikidata.org/entity/Q48748249,http://www.wikidata.org/entity/Q1196408,Uncle Bernac,historical fiction,1904
0,http://www.wikidata.org/entity/Q18635229,,The Mirror of the Sea,,1906
0,http://www.wikidata.org/entity/Q5051290,http://www.wikidata.org/entity/Q24925,The World Set Free,science fiction,1914
1,http://www.wikidata.org/entity/Q5051290,http://www.wikidata.org/entity/Q908667,The World Set Free,war novel,1914
2,http://www.wikidata.org/entity/Q5051290,http://www.wikidata.org/entity/Q9326077,The World Set Free,speculative/fantastic fiction,1914
3,http://www.wikidata.org/entity/Q5051290,http://www.wikidata.org/entity/Q12132683,The World Set Free,science fiction novel,1914
0,http://www.wikidata.org/entity/Q333179,http://www.wikidata.org/entity/Q19765983,Persuasion,romantic fiction,1817
0,http://www.wikidata.org/entity/Q333179,http://www.wikidata.org/entity/Q19765983,Persuasion,romantic fiction,1817
0,http://www.wikidata.org/entity/Q333179,http://www.wikidata.org/entity/Q19765983,Persuasion,romantic fiction,1817
0,http://www.wikidata.org/entity/Q1130590,http://www.wikidata.org/entity/Q16575965,The Cask of Amontillado,horror fiction,1846
0,http://www.wikidata.org/entity/Q766086,http://www.wikidata.org/entity/Q16575965,The Masque of the Red Death,horror fiction,1842
1,http://www.wikidata.org/entity/Q766086,http://www.wikidata.org/entity/Q19715429,The Masque of the Red Death,Gothic literature,1842
0,http://www.wikidata.org/entity/Q42185117,,Hilda Lessways,,1911
1,http://www.wikidata.org/entity/Q42185117,,Hilda Lessways,,1930
0,http://www.wikidata.org/entity/Q22726,http://www.wikidata.org/entity/Q474090,The Raven,narrative poetry,1845
0,http://www.wikidata.org/entity/Q22726,http://www.wikidata.org/entity/Q474090,The Raven,narrative poetry,1845
0,http://www.wikidata.org/entity/Q22726,http://www.wikidata.org/entity/Q474090,The Raven,narrative poetry,1845
0,http://www.wikidata.org/entity/Q3824593,http://www.wikidata.org/entity/Q10992055,The Night Land,speculative/fantastic fiction novel,1912
0,http://www.wikidata.org/entity/Q3974139,http://www.wikidata.org/entity/Q35760,A History of Freedom of Thought,essay,1913
0,http://www.wikidata.org/entity/Q6312905,http://www.wikidata.org/entity/Q21802675,Jungle Tales of Tarzan,adventure fiction,1919
0,http://www.wikidata.org/entity/Q1500229,http://www.wikidata.org/entity/Q10916116,The History of Rome,history book,1854
0,http://www.wikidata.org/entity/Q1500229,http://www.wikidata.org/entity/Q10916116,The History of Rome,history book,1854
0,http://www.wikidata.org/entity/Q1500229,http://www.wikidata.org/entity/Q10916116,The History of Rome,history book,1854
0,http://www.wikidata.org/entity/Q1500229,http://www.wikidata.org/entity/Q10916116,The History of Rome,history book,1854
0,http://www.wikidata.org/entity/Q1500229,http://www.wikidata.org/entity/Q10916116,The History of Rome,history book,1854
0,http://www.wikidata.org/entity/Q663632,,Doctor Pascal,,1893
0,http://www.wikidata.org/entity/Q3232379,,Children of the Frost,,1902
0,http://www.wikidata.org/entity/Q1795631,http://www.wikidata.org/entity/Q319226,Moonfleet,adventure novel,1898
0,http://www.wikidata.org/entity/Q63971,,Boule de Suif,,1880
0,http://www.wikidata.org/entity/Q1196857,http://www.wikidata.org/entity/Q21802675,The Sea-Wolf,adventure fiction,1904
0,http://www.wikidata.org/entity/Q19100202,,The Strength of the Strong,,1914
0,http://www.wikidata.org/entity/Q6007633,http://www.wikidata.org/entity/Q149537,Impressions of Theophrastus Such,novella,1879
0,http://www.wikidata.org/entity/Q3223495,,Le Horla,,1886
0,http://www.wikidata.org/entity/Q5642996,,Far from the Madding Crowd,,1874
0,http://www.wikidata.org/entity/Q5642996,,Far from the Madding Crowd,,1874
0,http://www.wikidata.org/entity/Q469755,http://www.wikidata.org/entity/Q35760,The Anatomy of Melancholy,essay,1621
0,http://www.wikidata.org/entity/Q7767777,http://www.wikidata.org/entity/Q132311,The Sword of Welleran and Other Stories,fantasy,1908
0,http://www.wikidata.org/entity/Q264143,http://www.wikidata.org/entity/Q35760,A Modest Proposal,essay,1729
1,http://www.wikidata.org/entity/Q264143,http://www.wikidata.org/entity/Q18536349,A Modest Proposal,polemical lampoon,1729
0,http://www.wikidata.org/entity/Q264143,http://www.wikidata.org/entity/Q35760,A Modest Proposal,essay,1729
1,http://www.wikidata.org/entity/Q264143,http://www.wikidata.org/entity/Q18536349,A Modest Proposal,polemical lampoon,1729
0,http://www.wikidata.org/entity/Q647379,http://www.wikidata.org/entity/Q44563,Dead Souls,picaresque novel,1842
1,http://www.wikidata.org/entity/Q647379,http://www.wikidata.org/entity/Q110540276,Dead Souls,satirical fiction,1842
0,http://www.wikidata.org/entity/Q860023,http://www.wikidata.org/entity/Q8261,The Arrow of Gold,novel,1919
0,http://www.wikidata.org/entity/Q7182950,,Philaster,,1620
0,http://www.wikidata.org/entity/Q18679228,,Juha,,1911
0,http://www.wikidata.org/entity/Q4657396,http://www.wikidata.org/entity/Q192239,A Horse's Tale,historical novel,1907
0,http://www.wikidata.org/entity/Q20507862,,Crescent and Iron Cross,,1918
0,http://www.wikidata.org/entity/Q16385419,,Dawn,,1884
0,http://www.wikidata.org/entity/Q19102119,http://www.wikidata.org/entity/Q193606,The Wendigo,horror literature,1910
1,http://www.wikidata.org/entity/Q19102119,http://www.wikidata.org/entity/Q732782,The Wendigo,weird fiction,1910
0,http://www.wikidata.org/entity/Q6907418,,Moon-Face,,1902
0,http://www.wikidata.org/entity/Q725752,http://www.wikidata.org/entity/Q186424,The Return of Sherlock Holmes,detective fiction,1905
0,http://www.wikidata.org/entity/Q725752,http://www.wikidata.org/entity/Q186424,The Return of Sherlock Holmes,detective fiction,1905
0,http://www.wikidata.org/entity/Q108704082,http://www.wikidata.org/entity/Q40831,Buried Alive,comedy,1908
0,http://www.wikidata.org/entity/Q56157651,,Saxe Holm's Stories,,1878
0,http://www.wikidata.org/entity/Q726254,http://www.wikidata.org/entity/Q132311,The Wonderful Adventures of Nils,fantasy,1906
1,http://www.wikidata.org/entity/Q726254,http://www.wikidata.org/entity/Q132311,The Wonderful Adventures of Nils,fantasy,1907
0,http://www.wikidata.org/entity/Q5367959,http://www.wikidata.org/entity/Q1426213,Elusive Isabel,espionage novel,1909
0,http://www.wikidata.org/entity/Q124090310,,The Stories of the Three Burglars,,1890
0,http://www.wikidata.org/entity/Q16200573,http://www.wikidata.org/entity/Q16575965,The Ghost Pirates,horror fiction,1909
1,http://www.wikidata.org/entity/Q16200573,http://www.wikidata.org/entity/Q111143082,The Ghost Pirates,pirate fiction,1909
0,http://www.wikidata.org/entity/Q64928814,,The Faith of Men,,1903
0,http://www.wikidata.org/entity/Q124088613,,The Late Mrs. Null,,1886
