,work,personLabel,workLabel,person,author,last_name
17,http://www.wikidata.org/entity/Q4821962,L. Frank Baum,Aunt Jane's Nieces and Uncle John,http://www.wikidata.org/entity/Q207544,Q207544,Baum
18,http://www.wikidata.org/entity/Q4821963,L. Frank Baum,Aunt Jane's Nieces at Millville,http://www.wikidata.org/entity/Q207544,Q207544,Baum
19,http://www.wikidata.org/entity/Q4821964,L. Frank Baum,Aunt Jane's Nieces at Work,http://www.wikidata.org/entity/Q207544,Q207544,Baum
20,http://www.wikidata.org/entity/Q4821965,L. Frank Baum,Aunt Jane's Nieces in Society,http://www.wikidata.org/entity/Q207544,Q207544,Baum
21,http://www.wikidata.org/entity/Q4821966,L. Frank Baum,Aunt Jane's Nieces in the Red Cross,http://www.wikidata.org/entity/Q207544,Q207544,Baum
22,http://www.wikidata.org/entity/Q4821967,L. Frank Baum,Aunt Jane's Nieces on the Ranch,http://www.wikidata.org/entity/Q207544,Q207544,Baum
23,http://www.wikidata.org/entity/Q5003855,L. Frank Baum,By the Candelabra's Glare,http://www.wikidata.org/entity/Q207544,Q207544,Baum
24,http://www.wikidata.org/entity/Q5227941,L. Frank Baum,Daughters of Destiny,http://www.wikidata.org/entity/Q207544,Q207544,Baum
25,http://www.wikidata.org/entity/Q5299399,L. Frank Baum,Dot and Tot of Merryland,http://www.wikidata.org/entity/Q207544,Q207544,Baum
26,http://www.wikidata.org/entity/Q5437599,L. Frank Baum,Father Goose's Year Book,http://www.wikidata.org/entity/Q207544,Q207544,Baum
27,http://www.wikidata.org/entity/Q5437600,L. Frank Baum,Father Goose: His Book,http://www.wikidata.org/entity/Q207544,Q207544,Baum
28,http://www.wikidata.org/entity/Q5569658,L. Frank Baum,Glinda of Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
29,http://www.wikidata.org/entity/Q6456455,L. Frank Baum,L. Frank Baum's Juvenile Speaker,http://www.wikidata.org/entity/Q207544,Q207544,Baum
30,http://www.wikidata.org/entity/Q6652545,L. Frank Baum,Little Wizard Stories of Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
31,http://www.wikidata.org/entity/Q6917355,L. Frank Baum,Mother Goose in Prose,http://www.wikidata.org/entity/Q207544,Q207544,Baum
32,http://www.wikidata.org/entity/Q7186661,L. Frank Baum,Phoebe Daring,http://www.wikidata.org/entity/Q207544,Q207544,Baum
33,http://www.wikidata.org/entity/Q7209626,L. Frank Baum,Policeman Bluejay,http://www.wikidata.org/entity/Q207544,Q207544,Baum
34,http://www.wikidata.org/entity/Q7244243,L. Frank Baum,Prince Silverwings,http://www.wikidata.org/entity/Q207544,Q207544,Baum
35,http://www.wikidata.org/entity/Q7244243,L. Frank Baum,Prince Silverwings,http://www.wikidata.org/entity/Q207544,Q207544,Baum
36,http://www.wikidata.org/entity/Q7270552,L. Frank Baum,Queen Zixi of Ix,http://www.wikidata.org/entity/Q207544,Q207544,Baum
37,http://www.wikidata.org/entity/Q7335058,L. Frank Baum,Rinkitink in Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
38,http://www.wikidata.org/entity/Q7537357,L. Frank Baum,Sky Island,http://www.wikidata.org/entity/Q207544,Q207544,Baum
39,http://www.wikidata.org/entity/Q7718867,L. Frank Baum,The Bluebird Books,http://www.wikidata.org/entity/Q207544,Q207544,Baum
40,http://www.wikidata.org/entity/Q7728900,L. Frank Baum,The Daring Twins,http://www.wikidata.org/entity/Q207544,Q207544,Baum
41,http://www.wikidata.org/entity/Q7733533,L. Frank Baum,The Fate of a Crown,http://www.wikidata.org/entity/Q207544,Q207544,Baum
42,http://www.wikidata.org/entity/Q7734594,L. Frank Baum,The Flying Girl,http://www.wikidata.org/entity/Q207544,Q207544,Baum
43,http://www.wikidata.org/entity/Q7745733,L. Frank Baum,The Last Egyptian,http://www.wikidata.org/entity/Q207544,Q207544,Baum
44,http://www.wikidata.org/entity/Q7748719,L. Frank Baum,The Lost Princess of Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
45,http://www.wikidata.org/entity/Q7749508,L. Frank Baum,The Magic of Oz,http://www.wikidata.org/entity/Q207544,Q207544,Baum
46,http://www.wikidata.org/entity/Q7749512,L. Frank Baum,The Magical Monarch of Mo,http://www.wikidata.org/entity/Q207544,Q207544,Baum
47,http://www.wikidata.org/entity/Q7761845,L. Frank Baum,The Runaway Shadows,http://www.wikidata.org/entity/Q207544,Q207544,Baum
