book,author,birthYear,bookLabel,authorLabel,authorLast,book_QN,author_QN
http://www.wikidata.org/entity/Q51448009,http://www.wikidata.org/entity/Q799550,1838,Birds of Britain,Henry Eeles Dresser,Dresser,Q51448009,Q799550
http://www.wikidata.org/entity/Q51448012,http://www.wikidata.org/entity/Q799550,1838,Birds of Britain,Henry Eeles Dresser,Dresser,Q51448012,Q799550
http://www.wikidata.org/entity/Q51448012,http://www.wikidata.org/entity/Q3181824,1875,Birds of Britain,J. Lewis Bonhote,Bonhote,Q51448012,Q3181824
http://www.wikidata.org/entity/Q6445242,http://www.wikidata.org/entity/Q717186,1861,Kuolema,Arvid Järnefelt,Järnefelt,Q6445242,Q717186
http://www.wikidata.org/entity/Q4095706,http://www.wikidata.org/entity/Q105756,1932,Brazil,John Updike,Updike,Q4095706,Q105756
http://www.wikidata.org/entity/Q4958621,http://www.wikidata.org/entity/Q223985,1943,Brazil,Michael Palin,Palin,Q4958621,Q223985
http://www.wikidata.org/entity/Q7376251,http://www.wikidata.org/entity/Q275955,1923,Ruby,V. C. Andrews,Andrews,Q7376251,Q275955
http://www.wikidata.org/entity/Q16878225,http://www.wikidata.org/entity/Q215506,1954,Halloween,Jerry Seinfeld,Seinfeld,Q16878225,Q215506
http://www.wikidata.org/entity/Q130924,http://www.wikidata.org/entity/Q153159,1802,Kalevala,Elias Lönnrot,Lönnrot,Q130924,Q153159
http://www.wikidata.org/entity/Q10594524,http://www.wikidata.org/entity/Q1610305,1943,Napoleon,Herman Lindqvist,Lindqvist,Q10594524,Q1610305
http://www.wikidata.org/entity/Q111271890,http://www.wikidata.org/entity/Q318399,1815,Harry Heathcote of Gangoil,Anthony Trollope,Trollope,Q111271890,Q318399
http://www.wikidata.org/entity/Q81720238,http://www.wikidata.org/entity/Q922457,1864,Ranson's Folly,Richard Harding Davis,Davis,Q81720238,Q922457
http://www.wikidata.org/entity/Q1197639,http://www.wikidata.org/entity/Q23481,1921,The Tunnel,Friedrich Dürrenmatt,Dürrenmatt,Q1197639,Q23481
http://www.wikidata.org/entity/Q7770719,http://www.wikidata.org/entity/Q304874,1924,The Tunnel,William H. Gass,Gass,Q7770719,Q304874
