,id,title,language,downloads,book_QN,author_QN,authorLabel
2504,PG48641,"Monsieur Lecoq, v. 2",['en'],40,Q6902552,Q463513,Émile Gaboriau
2505,PG48662,Carmen: Espanjalaisen mustalaistytön elämäntarina,['fi'],17,Q674832,Q160333,Prosper Mérimée
2506,PG48675,Cassell's book of birds; vol. 1,['en'],54,Q51452905,Q155112,Alfred Brehm
2507,PG48679,Taras Bulba: Kertomus kasakkavallan mahtavuuden ajoilta,['fi'],11,Q1250822,Q43718,Nikolai Gogol
2508,PG48725,Colomba: Kertomus Korsikan oloista 1810-luvulta,['fi'],11,Q2984121,Q160333,Prosper Mérimée
2509,PG48731,"Les Misérables, v. 1/5: Fantine",['en'],317,Q180736,Q535,Victor Hugo
2510,PG48732,"Les Misérables, v. 2/5: Cosette",['en'],199,Q180736,Q535,Victor Hugo
2511,PG48733,"Les Misérables, v. 3/5: Marius",['en'],115,Q180736,Q535,Victor Hugo
2512,PG48734,"Les Misérables, v. 4/5: The Idyll and the Epic",['en'],111,Q180736,Q535,Victor Hugo
2513,PG48735,"Les Misérables, v. 5/5: Jean Valjean",['en'],131,Q180736,Q535,Victor Hugo
2514,PG48749,Liliom: A Legend in Seven Scenes and a Prologue,['en'],125,Q1248248,Q296809,Ferenc Molnár
2515,PG48758,"France and England in North America, Part VII, Vol 2: A Half-Century of Conflict",['en'],100,Q5478317,Q1340161,Francis Parkman
2516,PG53000,"France and England in North America, Part IV: The Old Régime In Canada",['en'],82,Q5478317,Q1340161,Francis Parkman
2517,PG48778,The Sea Fairies,['en'],233,Q7762755,Q207544,L. Frank Baum
2518,PG48788,On a Chinese Screen,['en'],153,Q17018103,Q134942,William Somerset Maugham
2519,PG48813,The Black Diamond,['en'],23,Q97573376,Q1235328,Francis Brett Young
2520,PG48865,"The Family among the Australian Aborigines, a Sociological Study",['en'],101,Q108415216,Q184992,Bronisław Malinowski
2521,PG48893,"Mademoiselle de Maupin, Volume 1 (of 2)",['en'],169,Q3275960,Q183713,Théophile Gautier
2522,PG48894,"Mademoiselle de Maupin, Volume 2 (of 2)",['en'],34,Q3275960,Q183713,Théophile Gautier
2523,PG48961,En piga bland pigor,['sv'],65,Q10483435,Q4970156,Ester Blenda Nordström
2524,PG48962,Anno 7603: Skuespil i 6 Acter,['da'],25,Q3443600,Q649747,Johan Herman Wessel
2525,PG48987,Essays on Darwinism,['en'],20,Q51469921,Q3525525,Thomas Roscoe Rede Stebbing
2526,PG49025,"Hypatia, eli Uusia vihollisia vanhassa hahmossa",['fi'],7,Q12060647,Q353238,Charles Kingsley
2527,PG4903,"Hilda Wade, a Woman with Tenacity of Purpose",['en'],108,Q19038072,Q725248,Grant Allen
2528,PG49068,"The Whistler Book: A Monograph of the Life and Position in Art of James McNeill Whistler, Together with a Careful Study of His More Important Works",['en'],44,Q63969702,Q81807,Sadakichi Hartmann
2529,PG49075,Alice Lorraine: A Tale of the South Downs,['en'],128,Q4725967,Q3316148,Richard Doddridge Blackmore
2530,PG4907,Moths of the Limberlost: A Book About Limberlost Cabin,['en'],47,Q51507100,Q5531480,Gene Stratton-Porter
2531,PG4910,The Magic Pudding: Being the Adventures of Bunyip Bluegum and His Friends Bill Barnacle & Sam Sawnoff,['en'],25,Q5497433,Q1273998,Norman Lindsay
2532,PG4917,The Kellys and the O'Kellys,['en'],74,Q7744082,Q318399,Anthony Trollope
2533,PG4920,The Blind Spot,['en'],69,Q7718602,Q5890025,Homer Eon Flint
2534,PG49248,Balboa: Ein Trauerspiel in fünf Aufzügen,['de'],13,Q116922930,Q84824,Heinrich Joseph von Collin
2535,PG4928,Bulfinch's Mythology,['en'],597,Q4996134,Q943991,Thomas Bulfinch
2536,PG492,Essays in the Art of Writing,['en'],363,Q19078539,Q1512,Robert Louis Stevenson
2537,PG49305,"Princess Napraxine, Volume 1 (of 3)",['en'],24,Q124086083,Q258001,Ouida
2538,PG50836,"Princess Napraxine, Volume 2 (of 3)",['en'],18,Q124086083,Q258001,Ouida
2539,PG50849,"Princess Napraxine, Volume 3 (of 3)",['en'],21,Q124086083,Q258001,Ouida
2540,PG49314,Six Months in Mexico,['en'],54,Q7532822,Q230299,Nellie Bly
2541,PG49315,Ourika,['en'],214,Q3358443,Q462578,Madame de Duras
2542,PG49316,The Philosophy of Friedrich Nietzsche,['en'],306,Q7756934,Q439204,H. L. Mencken
2543,PG49324,"The Authoress of the Odyssey: Where and when she wrote, who she was, the use she made of the Iliad, and how the poem grew under her hands",['en'],138,Q15102690,Q312829,Samuel Butler
2544,PG49332,The Epicurean: A Tale,['en'],58,Q7732339,Q315346,Thomas Moore
2545,PG49388,Sotileza,['es'],65,Q3491390,Q4115628,José María de Pereda
2546,PG493,Falk: A Reminiscence,['en'],126,Q20820648,Q82925,Joseph Conrad
2547,PG4943,The River War: An Account of the Reconquest of the Sudan,['en'],365,Q1860428,Q8016,Winston Churchill
2548,PG49457,Vapauden kirja: Runovalikoima,['fi'],22,Q22676984,Q360079,Eino Leino
2549,PG494,To-morrow,['en'],81,Q19106711,Q82925,Joseph Conrad
2550,PG49520,Kit and Kitty: A Story of West Middlesex,['en'],30,Q16386574,Q3316148,Richard Doddridge Blackmore
2551,PG49525,First Lensman,['en'],336,Q3225864,Q144090,Edward Elmer Smith
2552,PG49533,The Capsina: An Historical Novel,['en'],18,Q124087127,Q771698,Edward Frederic Benson
2553,PG49558,Pohjalaisia: Kansannäytelmä kolmessa näytöksessä,['fi'],7,Q7207772,Q2865905,Artturi Järviluoma
2554,PG495,Amy Foster,['en'],471,Q4749187,Q82925,Joseph Conrad
2555,PG4961,Our Mr. Wrenn: The Romantic Adventures of a Gentle Man,['en'],49,Q7111104,Q123469,Sinclair Lewis
2556,PG49621,"The Father and Daughter: A Tale, in Prose",['en'],36,Q65052285,Q1076511,Amelia Opie
2557,PG49626,Il passaggio: Romanzo,['it'],74,Q112315415,Q287741,Sibilla Aleramo
2558,PG49687,"Early Renaissance Architecture in England: A Historical & Descriptive Account of the Tudor, Elizabethan, & Jacobean Periods, 1500-1625",['en'],56,Q64139136,Q6218678,John Alfred Gotch
2559,PG4969,The Belton Estate,['en'],72,Q7716497,Q318399,Anthony Trollope
2560,PG49731,Tamawaca Folks: A Summer Comedy,['en'],21,Q56599071,Q207544,L. Frank Baum
2561,PG49822,"He Knew Lincoln, and Other Billy Brown Stories",['en'],14,Q64684281,Q271712,Ida Tarbell
