,word,count
436,Run,1529
531,Everything,1522
5894,Princess,1517
462,Clear,1516
720,Reason,1513
491,Stopped,1510
1405,Strong,1496
307,Cold,1494
1694,Five,1490
460,Continued,1486
2724,Escape,1475
751,Show,1470
820,Pass,1468
229,Works,1467
5181,Wife,1453
4954,Illustration,1452
369,Taking,1451
320,Hours,1446
1078,Suppose,1446
799,Afraid,1445
1676,Ready,1445
417,Feel,1443
455,Sort,1443
522,Read,1437
484,Manner,1434
810,Making,1429
5236,Miss,1427
5621,Ship,1405
882,Truth,1399
6592,Boat,1399
501,Wonder,1395
2519,Evil,1388
1443,Company,1370
9827,Golden,1367
4458,Cave,1365
392,Possible,1364
189,Quickly,1361
631,Table,1361
444,Following,1358
400,North,1355
943,Straight,1352
787,Follow,1342
802,Try,1339
1285,Certainly,1335
152,Later,1335
3832,Chief,1334
7524,Warriors,1332
236,Darkness,1330
852,Present,1327
4701,Horse,1324
381,Struck,1320
1612,Eye,1318
18480,Wizard,1317
926,Food,1317
1158,Sometimes,1317
393,Mountains,1313
492,Started,1311
461,Form,1307
1020,Free,1307
6398,Brother,1305
255,Direction,1302
818,Journey,1301
252,Filled,1300
769,Terrible,1295
401,Heavy,1294
831,Laid,1290
614,Care,1288
1292,Front,1281
2517,Sweet,1279
9887,Battle,1277
656,Stand,1267
919,Cry,1266
1021,Cut,1266
5247,Kill,1263
2611,Remained,1263
1280,Eat,1262
11158,Daughter,1262
1176,Living,1255
2402,Thinking,1251
6630,Birds,1250
2465,Wide,1250
3029,Tale,1249
4930,Hath,1249
311,Instant,1243
266,Sudden,1243
486,Shook,1242
641,Walls,1240
9814,Spake,1235
306,Plain,1232
775,Reach,1229
592,Soul,1228
1274,Lived,1227
5677,Valley,1226
345,Broken,1223
1426,Late,1223
6705,Learned,1222
322,Idea,1216
355,Ears,1215
4672,Gate,1212
265,Watched,1206
1996,Cast,1195
2719,Nature,1194
5700,Says,1193
558,Discovered,1189
1802,Grass,1188
2708,Dream,1187
796,Raised,1186
2516,Loved,1185
1753,Strength,1184
3637,Order,1182
17565,Et,1177
2884,Smiled,1172
1999,Wanted,1172
480,Book,1171
702,Ago,1169
429,Nearly,1169
4522,Whispered,1164
1233,Thousand,1162
516,Comes,1160
739,Seem,1160
1601,Ten,1156
1303,Whatever,1154
4733,Tall,1148
6334,Beauty,1146
463,Steps,1139
1004,Fast,1139
5252,Pretty,1131
1071,Fellow,1131
2255,Ways,1131
646,State,1130
413,Path,1126
827,Died,1126
10032,Hast,1124
496,Running,1124
2883,Smile,1121
427,Garden,1120
789,Seeing,1116
233,Huge,1116
1093,Shoulder,1114
227,Showed,1114
1226,Fight,1110
588,Sitting,1109
731,Turning,1105
313,Outside,1103
2320,Killed,1099
8113,War,1098
1291,Six,1097
1068,Fine,1095
5225,Secret,1093
1394,Hung,1092
1414,Trouble,1089
1785,Threw,1084
890,Bright,1082
424,Seems,1080
598,Covered,1080
752,Mighty,1079
658,Waiting,1079
996,Number,1078
1951,Tears,1076
188,Thoughts,1068
759,Change,1065
2038,Pointed,1063
5523,Peace,1063
4804,Beast,1059
137,Feeling,1058
364,Minutes,1057
713,Different,1056
2138,Neck,1054
596,Immediately,1054
260,Electronic,1053
1939,Money,1052
163,Space,1051
5125,Business,1051
4516,Wished,1050
1204,Shore,1049
1982,Bad,1049
753,Broke,1047
565,Instead,1045
335,Soft,1044
21410,Trot,1042
2239,Wise,1041
318,Terms,1039
735,Desire,1036
4581,Count,1033
1960,Lifted,1032
5060,Party,1032
922,Year,1031
3041,Figure,1026
389,Village,1026
535,Ancient,1025
1656,Single,1024
21847,Pencroft,1023
671,Closed,1022
559,South,1018
495,Fallen,1016
298,Scarcely,1015
1925,Please,1012
992,Dropped,1010
917,Lie,1007
470,Lying,1005
3587,Talking,1001
1709,Rocks,1000
35866,Scarecrow,1000
1011,Beginning,995
38080,Birdalone,994
569,Watch,992
4747,Stop,991
666,Stream,989
1007,Stay,985
542,Breath,984
317,Attention,980
1157,Spirit,977
4089,Silver,973
846,Spot,969
180,Sense,967
397,Terror,966
1112,Real,965
5842,Wings,960
7087,Ca,960
891,Glass,958
9900,Nought,957
832,Walk,957
982,Interest,955
1444,Purpose,953
147,Minute,945
1270,Heads,944
196,Dog,942
898,Presence,941
624,Received,938
10431,Yea,938
1118,Watching,936
603,Danger,933
573,Line,933
555,Finally,931
633,Lake,930
3591,Speaking,930
490,Search,930
2600,Surely,929
619,Leaving,927
1611,Changed,925
648,Shot,925
292,Opening,924
242,Creatures,923
2387,Safe,922
1211,Wonderful,922
1455,Unless,922
5830,Arose,921
5145,Send,919
4981,Easy,918
1440,Lead,918
583,Hidden,915
1397,Legs,914
2349,Ill,914
10369,Thine,913
2211,Knows,913
1672,Spoken,910
808,Sit,909
18148,Le,909
5287,Gathered,908
3582,Lives,904
295,Gutenberg,903
1410,Ones,902
1360,Surprise,900
1749,Alive,898
327,Chair,896
20569,Umslopogaas,895
3677,Guard,892
2657,Rode,889
6335,Lovely,886
5189,Play,885
933,Asleep,884
10185,Street,883
1058,Heaven,882
1054,Fingers,881
909,Law,881
1835,Subject,879
1135,Sprang,879
2227,Necessary,879
839,View,878
1819,Shoulders,878
407,Greater,877
411,Waited,876
4381,Sought,876
581,Move,876
945,Touched,876
732,Thick,875
784,Easily,875
1692,Sign,874
1770,Finished,874
3419,Beasts,874
1015,Stepped,874
285,Quiet,872
5233,Flowers,871
1141,Placed,870
773,Trying,870
5358,Drink,869
1167,Bound,866
1758,Third,864
1554,Bit,864
721,Slept,863
4903,Stranger,863
431,Appearance,862
2491,Nay,856
1302,Position,856
1069,Getting,855
4454,Yellow,855
2067,Leaves,854
212,Stared,852
1224,Meant,850
653,Cause,850
717,Roof,847
5231,Music,847
5277,Letter,846
1670,Hungry,846
11255,Spear,844
3366,Companions,844
1572,Shouted,843
7092,Houses,842
1466,Waters,842
21848,Harding,841
5768,Wrong,841
2275,Hardly,840
334,Foundation,838
541,Probably,838
18831,Phoenix,838
17513,Priest,837
11116,Witch,836
1172,Rushed,836
696,Shape,836
5595,Seek,835
762,Grow,835
659,Pale,835
7921,Tin,834
503,Moving,834
4339,Moreover,830
850,Learn,829
1552,Aside,825
793,Force,825
786,East,825
5522,Fields,823
667,Early,823
338,Rising,822
2992,Hurt,821
3691,Ought,821
8572,Song,821
446,Places,820
5250,Lest,819
2290,Flew,819
2716,Remain,817
6331,Scene,816
2347,Explained,816
543,Curious,815
5345,Forget,815
4083,Broad,814
1821,Narrow,814
